arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
cleanlab/classification.py,funcao,__init__,3,6,5,7,9,12,20.2647,38.0391,1.75,66.5684,3.6982,0.0127
cleanlab/classification.py,funcao,fit,7,31,32,65,38,97,173.2316,509.049,7.3387,3735.7626,207.5424,0.1697
cleanlab/classification.py,funcao,predict,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/classification.py,funcao,predict_proba,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/classification.py,funcao,score,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/classification.py,funcao,find_label_issues,10,35,41,80,45,121,212.7442,664.5142,11.4286,7594.4483,421.9138,0.2215
cleanlab/classification.py,funcao,get_label_issues,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/classification.py,funcao,save_space,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/classification.py,funcao,_process_label_issues_kwargs,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
cleanlab/classification.py,funcao,_process_label_issues_arg,7,21,13,25,28,38,111.8902,182.6795,4.1667,761.1645,42.2869,0.0609
cleanlab/count.py,funcao,num_label_issues,6,13,10,19,19,29,63.6155,123.1899,4.3846,540.1403,30.0078,0.0411
cleanlab/count.py,funcao,_num_label_issues_multilabel,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/count.py,funcao,_reduce_issues,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/count.py,funcao,calibrate_confident_joint,3,9,5,9,12,14,33.2842,50.1895,1.5,75.2842,4.1825,0.0167
cleanlab/count.py,funcao,_calibrate_confident_joint_multilabel,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/count.py,funcao,estimate_joint,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
cleanlab/count.py,funcao,_estimate_joint_multilabel,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/count.py,funcao,compute_confident_joint,7,12,8,15,19,23,62.671,97.7023,4.375,427.4477,23.7471,0.0326
cleanlab/count.py,funcao,_compute_confident_joint_multi_label,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/count.py,funcao,estimate_latent,1,6,3,6,7,9,15.5098,25.2662,0.5,12.6331,0.7018,0.0084
cleanlab/count.py,funcao,estimate_py_and_noise_matrices_from_probabilities,0,0,0,0,0,0,0,0,0,0,0,0
